	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
190	time	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	time	0.0143446657803134	646	470	1.44598164774927e-26	4.45277289762789e-25
191	time	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	time	0.0143460413106462	646	470	1.56456687533489e-26	4.77116947128823e-25
192	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	time	0.00379162731894112	646	178	1.75949412513241e-26	5.31401062215471e-25
193	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	time	-0.0100417118196217	646	195	2.30484923392084e-26	6.82974664504279e-25
194	time	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__Enterococcus_faecalis_unclassified	time	-0.0100417118196217	646	195	2.30484923392084e-26	6.82974664504279e-25
195	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA	time	0.00536069084050337	646	109	4.78387697951909e-25	1.39131088821014e-23
196	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA|t__GCF_000218425	time	0.00536069084050337	646	109	4.78387697951909e-25	1.39131088821014e-23
197	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens	time	0.00859160107160476	646	120	5.65827803682392e-23	1.61569557396945e-21
198	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185	time	0.00859160107160476	646	120	5.65827803682392e-23	1.61569557396945e-21
199	time	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	time	0.00264301515314237	646	192	7.4840985059023e-23	2.11779760423776e-21
200	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile	time	0.0113763854249777	646	200	1.24087842999344e-22	3.44920278638001e-21
201	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile|t__GCF_000156035	time	0.0113763854249777	646	200	1.24087842999344e-22	3.44920278638001e-21
202	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum	time	0.0050481032242608	646	84	1.6335642121301e-22	4.46176103504404e-21
203	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345	time	0.0050481032242608	646	84	1.6335642121301e-22	4.46176103504404e-21
204	time	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae	time	0.00571215017076617	646	218	2.95015464079442e-22	7.98830666097868e-21
